id,name,category,price,stock
1,stationery-1,stationery,1.37,7
2,peripherals-2,peripherals,2.74,14
3,storage-3,storage,4.11,21
4,lighting-4,lighting,5.48,28
5,breakroom-5,breakroom,6.85,35
6,furniture-6,furniture,8.22,42
7,stationery-7,stationery,9.59,49
8,peripherals-8,peripherals,10.96,56
9,storage-9,storage,12.33,63
10,lighting-10,lighting,13.70,70
11,breakroom-11,breakroom,15.07,77
12,furniture-12,furniture,16.44,84
13,stationery-13,stationery,17.81,91
14,peripherals-14,peripherals,19.18,98
15,storage-15,storage,20.55,105
16,lighting-16,lighting,21.92,112
17,breakroom-17,breakroom,23.29,119
18,furniture-18,furniture,24.66,126
19,stationery-19,stationery,26.03,133
20,peripherals-20,peripherals,27.40,140
21,storage-21,storage,28.77,147
22,lighting-22,lighting,30.14,154
23,breakroom-23,breakroom,31.51,161
24,furniture-24,furniture,32.88,168
25,stationery-25,stationery,34.25,175
26,peripherals-26,peripherals,35.62,182
27,storage-27,storage,36.99,189
28,lighting-28,lighting,38.36,196
29,breakroom-29,breakroom,39.73,203
30,furniture-30,furniture,41.10,210
31,stationery-31,stationery,42.47,217
32,peripherals-32,peripherals,43.84,224
33,storage-33,storage,45.21,231
34,lighting-34,lighting,46.58,238
35,breakroom-35,breakroom,47.95,245
36,furniture-36,furniture,49.32,252
37,stationery-37,stationery,50.69,259
38,peripherals-38,peripherals,52.06,266
39,storage-39,storage,53.43,273
40,lighting-40,lighting,54.80,280
41,breakroom-41,breakroom,56.17,287
42,furniture-42,furniture,57.54,294
43,stationery-43,stationery,58.91,301
44,peripherals-44,peripherals,60.28,308
45,storage-45,storage,61.65,315
46,lighting-46,lighting,63.02,322
47,breakroom-47,breakroom,64.39,329
48,furniture-48,furniture,65.76,336
49,stationery-49,stationery,67.13,343
50,peripherals-50,peripherals,68.50,350
51,storage-51,storage,69.87,357
52,lighting-52,lighting,71.24,364
53,breakroom-53,breakroom,72.61,371
54,furniture-54,furniture,73.98,378
55,stationery-55,stationery,75.35,385
56,peripherals-56,peripherals,76.72,392
57,storage-57,storage,78.09,399
58,lighting-58,lighting,79.46,406
59,breakroom-59,breakroom,80.83,413
60,furniture-60,furniture,82.20,420
61,stationery-61,stationery,83.57,427
62,peripherals-62,peripherals,84.94,434
63,storage-63,storage,86.31,441
64,lighting-64,lighting,87.68,448
65,breakroom-65,breakroom,89.05,455
66,furniture-66,furniture,90.42,462
67,stationery-67,stationery,91.79,469
68,peripherals-68,peripherals,93.16,476
69,storage-69,storage,94.53,483
70,lighting-70,lighting,95.90,490
71,breakroom-71,breakroom,97.27,497
72,furniture-72,furniture,98.64,4
73,stationery-73,stationery,0.01,11
74,peripherals-74,peripherals,1.38,18
75,storage-75,storage,2.75,25
76,lighting-76,lighting,4.12,32
77,breakroom-77,breakroom,5.49,39
78,furniture-78,furniture,6.86,46
79,stationery-79,stationery,8.23,53
80,peripherals-80,peripherals,9.60,60
81,storage-81,storage,10.97,67
82,lighting-82,lighting,12.34,74
83,breakroom-83,breakroom,13.71,81
84,furniture-84,furniture,15.08,88
85,stationery-85,stationery,16.45,95
86,peripherals-86,peripherals,17.82,102
87,storage-87,storage,19.19,109
88,lighting-88,lighting,20.56,116
89,breakroom-89,breakroom,21.93,123
90,furniture-90,furniture,23.30,130
91,stationery-91,stationery,24.67,137
92,peripherals-92,peripherals,26.04,144
93,storage-93,storage,27.41,151
94,lighting-94,lighting,28.78,158
95,breakroom-95,breakroom,30.15,165
96,furniture-96,furniture,31.52,172
97,stationery-97,stationery,32.89,179
98,peripherals-98,peripherals,34.26,186
99,storage-99,storage,35.63,193
100,lighting-100,lighting,37.00,200
101,breakroom-101,breakroom,38.37,207
102,furniture-102,furniture,39.74,214
103,stationery-103,stationery,41.11,221
104,peripherals-104,peripherals,42.48,228
105,storage-105,storage,43.85,235
106,lighting-106,lighting,45.22,242
107,breakroom-107,breakroom,46.59,249
108,furniture-108,furniture,47.96,256
109,stationery-109,stationery,49.33,263
110,peripherals-110,peripherals,50.70,270
111,storage-111,storage,52.07,277
